time_iso8601,forks_cumulative
2025-01-25 00:00:00+00:00,42738
2025-01-26 00:00:00+00:00,42748
2025-01-27 00:00:00+00:00,42759
2025-01-28 00:00:00+00:00,42771
2025-01-29 00:00:00+00:00,42782
2025-01-30 00:00:00+00:00,42792
2025-01-31 00:00:00+00:00,42802
2025-02-01 00:00:00+00:00,42811
2025-02-02 00:00:00+00:00,42822
2025-02-03 00:00:00+00:00,42831
2025-02-04 00:00:00+00:00,42846
2025-02-05 00:00:00+00:00,42860
2025-02-06 00:00:00+00:00,42875
2025-02-07 00:00:00+00:00,42894
2025-02-08 00:00:00+00:00,42911
2025-02-09 00:00:00+00:00,42926
2025-02-10 00:00:00+00:00,42945
2025-02-11 00:00:00+00:00,42957
2025-02-12 00:00:00+00:00,42973
2025-02-13 00:00:00+00:00,42982
2025-02-14 00:00:00+00:00,42991
2025-02-15 00:00:00+00:00,42998
2025-02-16 00:00:00+00:00,43014
2025-02-17 00:00:00+00:00,43029
2025-02-18 00:00:00+00:00,43048
2025-02-19 00:00:00+00:00,43064
2025-02-20 00:00:00+00:00,43075
2025-02-21 00:00:00+00:00,43090
2025-02-22 00:00:00+00:00,43099
2025-02-23 00:00:00+00:00,43111
2025-02-24 00:00:00+00:00,43124
2025-02-25 00:00:00+00:00,43144
2025-02-26 00:00:00+00:00,43157
2025-02-27 00:00:00+00:00,43181
2025-02-28 00:00:00+00:00,43199
2025-03-01 00:00:00+00:00,43209
2025-03-02 00:00:00+00:00,43219
2025-03-03 00:00:00+00:00,43227
2025-03-04 00:00:00+00:00,43238
2025-03-05 00:00:00+00:00,43250
2025-03-06 00:00:00+00:00,43262
2025-03-07 00:00:00+00:00,43283
2025-03-08 00:00:00+00:00,43307
2025-03-09 00:00:00+00:00,43329
2025-03-10 00:00:00+00:00,43359
2025-03-11 00:00:00+00:00,43376
2025-03-12 00:00:00+00:00,43395
2025-03-13 00:00:00+00:00,43420
2025-03-14 00:00:00+00:00,43444
2025-03-15 00:00:00+00:00,43453
2025-03-16 00:00:00+00:00,43466
2025-03-17 00:00:00+00:00,43484
2025-03-18 00:00:00+00:00,43496
2025-03-19 00:00:00+00:00,43513
2025-03-20 00:00:00+00:00,43535
2025-03-21 00:00:00+00:00,43550
2025-03-22 00:00:00+00:00,43558
2025-03-23 00:00:00+00:00,43571
2025-03-24 00:00:00+00:00,43593
2025-03-25 00:00:00+00:00,43603
2025-03-26 00:00:00+00:00,43617
2025-03-27 00:00:00+00:00,43632
2025-03-28 00:00:00+00:00,43645
2025-03-29 00:00:00+00:00,43661
2025-03-30 00:00:00+00:00,43672
2025-03-31 00:00:00+00:00,43681
2025-04-01 00:00:00+00:00,43694
2025-04-02 00:00:00+00:00,43704
2025-04-03 00:00:00+00:00,43712
2025-04-04 00:00:00+00:00,43729
2025-04-05 00:00:00+00:00,43736
2025-04-06 00:00:00+00:00,43745
2025-04-07 00:00:00+00:00,43758
2025-04-08 00:00:00+00:00,43765
2025-04-09 00:00:00+00:00,43773
2025-04-10 00:00:00+00:00,43783
2025-04-11 00:00:00+00:00,43792
2025-04-12 00:00:00+00:00,43797
2025-04-13 00:00:00+00:00,43807
2025-04-14 00:00:00+00:00,43820
2025-04-15 00:00:00+00:00,43827
2025-04-16 00:00:00+00:00,43841
2025-04-17 00:00:00+00:00,43852
2025-04-18 00:00:00+00:00,43857
2025-04-19 00:00:00+00:00,43869
2025-04-20 00:00:00+00:00,43879
2025-04-21 00:00:00+00:00,43893
2025-04-22 00:00:00+00:00,43905
2025-04-23 00:00:00+00:00,43918
2025-04-24 00:00:00+00:00,43928
2025-04-25 00:00:00+00:00,43938
2025-04-26 00:00:00+00:00,43944
2025-04-27 00:00:00+00:00,43956
2025-04-28 00:00:00+00:00,43963
2025-04-29 00:00:00+00:00,43978
2025-04-30 00:00:00+00:00,43988
2025-05-01 00:00:00+00:00,43991
2025-05-02 00:00:00+00:00,43995
2025-05-03 00:00:00+00:00,44008
2025-05-04 00:00:00+00:00,44018
2025-05-05 00:00:00+00:00,44031
2025-05-06 00:00:00+00:00,44037
2025-05-07 00:00:00+00:00,44047
2025-05-08 00:00:00+00:00,44055
2025-05-09 00:00:00+00:00,44063
2025-05-10 00:00:00+00:00,44069
2025-05-11 00:00:00+00:00,44075
2025-05-12 00:00:00+00:00,44079
2025-05-13 00:00:00+00:00,44094
2025-05-14 00:00:00+00:00,44101
2025-05-15 00:00:00+00:00,44109
2025-05-16 00:00:00+00:00,44119
2025-05-17 00:00:00+00:00,44125
2025-05-18 00:00:00+00:00,44132
2025-05-19 00:00:00+00:00,44141
2025-05-20 00:00:00+00:00,44148
2025-05-21 00:00:00+00:00,44157
2025-05-22 00:00:00+00:00,44165
2025-05-23 00:00:00+00:00,44176
2025-05-24 00:00:00+00:00,44180
2025-05-25 00:00:00+00:00,44183
2025-05-26 00:00:00+00:00,44193
2025-05-27 00:00:00+00:00,44204
2025-05-28 00:00:00+00:00,44209
2025-05-29 00:00:00+00:00,44219
2025-05-30 00:00:00+00:00,44225
2025-05-31 00:00:00+00:00,44234
2025-06-01 00:00:00+00:00,44244
2025-06-02 00:00:00+00:00,44256
2025-06-03 00:00:00+00:00,44265
2025-06-04 00:00:00+00:00,44276
2025-06-05 00:00:00+00:00,44290
2025-06-06 00:00:00+00:00,44298
2025-06-07 00:00:00+00:00,44307
2025-06-08 00:00:00+00:00,44315
2025-06-09 00:00:00+00:00,44325
2025-06-10 00:00:00+00:00,44335
2025-06-11 00:00:00+00:00,44345
2025-06-12 00:00:00+00:00,44359
2025-06-13 00:00:00+00:00,44370
2025-06-14 00:00:00+00:00,44380
2025-06-15 00:00:00+00:00,44388
2025-06-16 00:00:00+00:00,44396
2025-06-17 00:00:00+00:00,44402
2025-06-18 00:00:00+00:00,44409
2025-06-19 00:00:00+00:00,44419
2025-06-20 00:00:00+00:00,44428
2025-06-21 00:00:00+00:00,44439
2025-06-22 00:00:00+00:00,44444
2025-06-23 00:00:00+00:00,44454
2025-06-24 00:00:00+00:00,44465
2025-06-25 00:00:00+00:00,44471
2025-06-26 00:00:00+00:00,44478
2025-06-27 00:00:00+00:00,44487
2025-06-28 00:00:00+00:00,44495
2025-06-29 00:00:00+00:00,44505
2025-06-30 00:00:00+00:00,44512
2025-07-01 00:00:00+00:00,44515
2025-07-02 00:00:00+00:00,44525
2025-07-03 00:00:00+00:00,44534
2025-07-04 00:00:00+00:00,44540
2025-07-05 00:00:00+00:00,44546
2025-07-06 00:00:00+00:00,44552
2025-07-07 00:00:00+00:00,44561
2025-07-08 00:00:00+00:00,44574
2025-07-09 00:00:00+00:00,44581
2025-07-10 00:00:00+00:00,44588
2025-07-11 00:00:00+00:00,44599
2025-07-12 00:00:00+00:00,44615
2025-07-13 00:00:00+00:00,44622
2025-07-14 00:00:00+00:00,44632
2025-07-15 00:00:00+00:00,44636
2025-07-16 00:00:00+00:00,44650
2025-07-17 00:00:00+00:00,44659
2025-07-18 00:00:00+00:00,44667
2025-07-19 00:00:00+00:00,44677
2025-07-20 00:00:00+00:00,44684
2025-07-21 00:00:00+00:00,44692
2025-07-22 00:00:00+00:00,44700
2025-07-23 00:00:00+00:00,44707
2025-07-24 00:00:00+00:00,44714
2025-07-25 00:00:00+00:00,44723
